time,state,cameraY,chestY,pivotY,cameraSpeed,cameraAcceleration,dt
0.00000,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.33333
0.01577,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.01577
0.01989,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00412
0.02278,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00288
0.02602,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00324
0.03032,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00430
0.03454,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00422
0.03811,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00357
0.04163,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00352
0.04508,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00345
0.04857,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00349
0.05311,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00454
0.05742,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00431
0.06138,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00396
0.06513,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00375
0.06906,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00393
0.07274,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00368
0.07615,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00341
0.08006,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00391
0.08337,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00331
0.08668,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00331
0.08972,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00304
0.09381,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00409
0.09749,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00367
0.10087,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00338
0.10382,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00296
0.10716,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00334
0.11051,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00335
0.11428,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00377
0.11768,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00340
0.12066,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00298
0.12396,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00330
0.12694,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00297
0.12978,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00285
0.13345,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00366
0.13652,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00307
0.13979,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00328
0.14291,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00312
0.14606,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00315
0.14904,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00298
0.15291,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00387
0.15763,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00473
0.16178,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00414
0.16490,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00312
0.16770,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00280
0.17041,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00271
0.17416,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00376
0.17751,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00335
0.18061,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00310
0.18409,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00348
0.18722,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00312
0.19052,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00330
0.19407,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00356
0.19751,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00344
0.20087,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00335
0.20446,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00359
0.20795,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00350
0.21170,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00374
0.21515,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00345
0.21817,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00302
0.22181,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00364
0.22530,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00349
0.22819,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00289
0.23237,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00418
0.23638,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00401
0.23968,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00330
0.24281,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00313
0.24567,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00286
0.24875,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00308
0.25265,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00390
0.25654,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00389
0.26009,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00355
0.26304,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00295
0.26547,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00243
0.26806,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00260
0.27059,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00253
0.27396,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00337
0.27662,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00266
0.27964,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00302
0.28233,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00269
0.28495,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00262
