time,state,rootY,chestY,tilt,rotationStep,speed,acceleration,maxAnchorError,drive,relativeSpeed,relativeAngularSpeed,cameraY,cameraSpeed,cameraAcceleration
-0.33164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.31164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.29164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.27164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.25164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.23164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.21164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.19164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.17164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.15164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.13164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.11164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.09164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.07164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.05164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.03164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
-0.01164,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.00836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.02836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.04836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.06836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.08836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.10836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.12836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.14836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.16836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.18836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.20836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.22836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.24836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.26836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.28836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.30836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.32836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.34836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.36836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.38836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.40836,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
