time,state,rootY,chestY,tilt,rotationStep,speed,acceleration,maxAnchorError,drive,relativeSpeed,relativeAngularSpeed,cameraY,cameraSpeed,cameraAcceleration
-0.31991,Balanced,0.36727,1.25709,0.00000,0.00000,1.50662,0.00000,0.00202,1.00000,0.01213,0.04872,2.51965,0.00000,0.00000
-0.29991,Balanced,0.33322,1.22304,0.00000,0.00000,1.70217,9.77776,0.00192,1.00000,0.01227,0.04170,2.51965,0.00000,0.00000
-0.27991,Balanced,0.29529,1.18512,0.00000,0.00000,1.89653,9.71841,0.00178,1.00000,0.01157,0.03412,2.51965,0.00000,0.00000
-0.25991,Balanced,0.25350,1.14336,0.00000,0.00000,2.08949,9.64805,0.00161,1.00000,0.01034,0.02693,2.51965,0.00000,0.00000
-0.23991,Balanced,0.20788,1.09777,0.00000,0.00000,2.28102,9.57674,0.00143,1.00000,0.00887,0.02051,2.51965,0.00000,0.00000
-0.21991,Balanced,0.15845,1.04838,0.00000,0.00000,2.47118,9.50864,0.00125,1.00000,0.00738,0.01505,2.51965,0.00000,0.00000
-0.19991,Balanced,0.10525,0.99520,0.00000,0.00000,2.66009,9.44563,0.00107,1.00000,0.00601,0.01061,2.51965,0.00000,0.00000
-0.17991,Balanced,0.04829,0.93827,0.00000,0.00000,2.84785,9.38892,0.00091,1.00000,0.00484,0.00724,2.51965,0.00000,0.00000
-0.15991,Balanced,-0.01240,0.87760,0.00000,0.00000,3.03457,9.33564,0.00076,1.00000,0.00389,0.00496,2.51965,0.00000,0.00000
-0.13991,Balanced,0.00907,0.89007,0.00000,0.00000,0.00008,151.72840,0.01387,1.00000,0.76253,0.15728,2.51965,0.00000,0.00000
-0.11991,Balanced,0.01336,0.90219,0.00000,0.00000,0.00015,0.00473,0.00410,1.00000,0.48165,0.03474,2.51965,0.00000,0.00000
-0.09991,Balanced,0.01422,0.90424,0.00000,0.00000,0.00007,0.00868,0.00373,1.00000,0.09001,0.01643,2.51965,0.00000,0.00000
-0.07991,Balanced,0.01439,0.90401,0.00000,0.00000,0.00006,0.00179,0.00309,1.00000,0.00515,0.00993,2.51965,0.00000,0.00000
-0.05991,Balanced,0.01443,0.90391,0.00000,0.00000,0.00005,0.00117,0.00239,1.00000,0.00272,0.00580,2.51965,0.00000,0.00000
-0.03991,Balanced,0.01443,0.90394,0.00000,0.00000,0.00004,0.00046,0.00182,1.00000,0.00345,0.00740,2.51965,0.00000,0.00000
-0.01991,Balanced,0.01443,0.90395,0.00000,0.00000,0.00003,0.00037,0.00142,1.00000,0.00288,0.00835,2.51965,0.00000,0.00000
