time,state,cameraY,chestY,pivotY,cameraSpeed,cameraAcceleration,dt
0.00000,Balanced,27.14650,25.90435,26.56435,74.99974,224.99920,0.33333
0.01458,Balanced,27.14650,25.90435,26.56435,0.00017,5143.93300,0.01458
0.01813,Balanced,27.14650,25.90435,26.56435,0.00056,0.10893,0.00355
0.02205,Balanced,27.14650,25.90435,26.56435,0.00049,0.01611,0.00392
0.02524,Balanced,27.14650,25.90435,26.56435,0.00009,0.12577,0.00319
0.02813,Balanced,27.14650,25.90435,26.56435,0.00010,0.00336,0.00289
0.03134,Balanced,27.14650,25.90434,26.56434,0.00060,0.15582,0.00321
0.03475,Balanced,27.14650,25.90434,26.56435,0.00057,0.01106,0.00341
0.03791,Balanced,27.14650,25.90434,26.56434,0.00061,0.01431,0.00316
0.04119,Balanced,27.14650,25.90434,26.56434,0.00009,0.15859,0.00328
0.04436,Balanced,27.14650,25.90434,26.56434,0.00009,0.00097,0.00317
0.04766,Balanced,27.14650,25.90434,26.56434,0.00009,0.00110,0.00330
0.05091,Balanced,27.14650,25.90434,26.56434,0.00061,0.15952,0.00325
0.05496,Balanced,27.14650,25.90434,26.56434,0.00007,0.13180,0.00406
0.05924,Balanced,27.14650,25.90434,26.56434,0.00008,0.00126,0.00428
0.06403,Balanced,27.14649,25.90434,26.56434,0.00041,0.06947,0.00479
0.06843,Balanced,27.14650,25.90434,26.56434,0.00044,0.00602,0.00440
0.07178,Balanced,27.14649,25.90434,26.56434,0.00058,0.04171,0.00334
0.07550,Balanced,27.14649,25.90434,26.56434,0.00008,0.13352,0.00373
0.07934,Balanced,27.14649,25.90434,26.56434,0.00013,0.01263,0.00383
0.08370,Balanced,27.14649,25.90434,26.56434,0.00044,0.07203,0.00436
0.08782,Balanced,27.14649,25.90434,26.56434,0.00007,0.08976,0.00413
0.09126,Balanced,27.14649,25.90434,26.56434,0.00008,0.00156,0.00344
0.09425,Balanced,27.14649,25.90434,26.56434,0.00009,0.00389,0.00299
0.09703,Balanced,27.14649,25.90434,26.56434,0.00010,0.00229,0.00279
0.10083,Balanced,27.14649,25.90434,26.56434,0.00007,0.00668,0.00379
0.10452,Balanced,27.14649,25.90434,26.56434,0.00052,0.12265,0.00369
0.10876,Balanced,27.14649,25.90434,26.56434,0.00045,0.01615,0.00424
0.11294,Balanced,27.14649,25.90434,26.56434,0.00046,0.00184,0.00418
0.11766,Balanced,27.14649,25.90434,26.56434,0.00006,0.08585,0.00472
0.12134,Balanced,27.14649,25.90434,26.56434,0.00007,0.00431,0.00368
0.12598,Balanced,27.14649,25.90434,26.56433,0.00042,0.07432,0.00463
0.12985,Balanced,27.14649,25.90434,26.56433,0.00007,0.08987,0.00387
0.13342,Balanced,27.14649,25.90434,26.56433,0.00007,0.00160,0.00357
0.13719,Balanced,27.14649,25.90434,26.56433,0.00007,0.00250,0.00377
0.14110,Balanced,27.14649,25.90434,26.56433,0.00003,0.00887,0.00391
0.14498,Balanced,27.14649,25.90434,26.56433,0.00050,0.12028,0.00388
0.14827,Balanced,27.14649,25.90434,26.56433,0.00059,0.02682,0.00329
0.15179,Balanced,27.14649,25.90434,26.56433,0.00055,0.01087,0.00352
0.15613,Balanced,27.14649,25.90434,26.56433,0.00003,0.11952,0.00435
0.16095,Balanced,27.14649,25.90433,26.56433,0.00006,0.00578,0.00482
0.16585,Balanced,27.14648,25.90434,26.56433,0.00039,0.06906,0.00490
0.17011,Balanced,27.14648,25.90433,26.56433,0.00006,0.07770,0.00426
0.17373,Balanced,27.14648,25.90434,26.56433,0.00003,0.00820,0.00362
0.17762,Balanced,27.14648,25.90433,26.56433,0.00007,0.00914,0.00389
0.18097,Balanced,27.14648,25.90433,26.56433,0.00008,0.00336,0.00334
0.18458,Balanced,27.14648,25.90433,26.56433,0.00002,0.01750,0.00361
0.18763,Balanced,27.14648,25.90433,26.56433,0.00063,0.19927,0.00306
