time,state,rootY,chestY,tilt,rotationStep,speed,acceleration,maxAnchorError,drive,relativeSpeed,relativeAngularSpeed,cameraY,cameraSpeed,cameraAcceleration
-0.32200,Balanced,25.01443,25.90397,0.00000,0.00000,0.00000,0.00000,0.00081,1.00000,0.00000,0.00000,2.14659,0.00000,0.00000
-0.30200,Balanced,25.01437,25.90434,0.00000,0.00000,0.00173,0.08642,0.00027,1.00000,0.01175,0.00821,2.14659,0.00000,0.00000
-0.28200,Balanced,25.01437,25.90438,0.00000,0.00000,0.00031,0.08157,0.00019,1.00000,0.00262,0.00887,2.14659,0.00000,0.00000
-0.26200,Balanced,25.01437,25.90437,0.00000,0.00000,0.00041,0.01117,0.00012,1.00000,0.00209,0.00956,2.14659,0.00000,0.00000
-0.24200,Balanced,25.01437,25.90437,0.00000,0.00000,0.00044,0.00435,0.00007,1.00000,0.00219,0.01005,2.14659,0.00000,0.00000
-0.22200,Balanced,25.01437,25.90437,0.00000,0.00000,0.00042,0.00322,0.00003,1.00000,0.00223,0.01012,2.14659,0.00000,0.00000
-0.20200,Balanced,25.01437,25.90437,0.00000,0.00000,0.00039,0.00330,0.00003,1.00000,0.00219,0.00997,2.14659,0.00000,0.00000
-0.18200,Balanced,25.01437,25.90437,0.00000,0.00000,0.00035,0.00328,0.00003,1.00000,0.00210,0.00957,2.14659,0.00000,0.00000
-0.16200,Balanced,25.01436,25.90437,0.00000,0.00000,0.00031,0.00298,0.00004,1.00000,0.00196,0.00899,2.14659,0.00000,0.00000
-0.14200,Balanced,25.01436,25.90436,0.00000,0.00000,0.00028,0.00278,0.00004,1.00000,0.00181,0.00833,2.14659,0.00000,0.00000
-0.12200,Balanced,25.01436,25.90436,0.00000,0.00000,0.00025,0.00248,0.00004,1.00000,0.00165,0.00763,2.14659,0.00000,0.00000
-0.10200,Balanced,25.01436,25.90436,0.00000,0.00000,0.00023,0.00225,0.00004,1.00000,0.00148,0.00686,2.14659,0.00000,0.00000
-0.08200,Balanced,25.01436,25.90436,0.00000,0.00000,0.00020,0.00196,0.00004,1.00000,0.00132,0.00615,2.14659,0.00000,0.00000
-0.06200,Balanced,25.01435,25.90435,0.00000,0.00000,0.00019,0.00164,0.00003,1.00000,0.00116,0.00540,2.14659,0.00000,0.00000
-0.04200,Balanced,25.01435,25.90435,0.00000,0.00000,0.00017,0.00141,0.00003,1.00000,0.00101,0.00473,2.14659,0.00000,0.00000
-0.02200,Balanced,25.01435,25.90435,0.00000,0.00000,0.00016,0.00121,0.00003,1.00000,0.00087,0.00412,2.14659,0.00000,0.00000
-0.00200,Balanced,25.01435,25.90435,0.00000,0.00000,0.00015,0.00098,0.00003,1.00000,0.00075,0.00351,2.14659,0.00000,0.00000
0.01800,Balanced,25.01435,25.90435,0.00000,0.00000,0.00014,0.00075,0.00002,1.00000,0.00063,0.00299,27.14650,0.00000,0.00855
0.03800,Balanced,25.01435,25.90434,0.00000,0.00000,0.00014,0.00061,0.00002,1.00000,0.00053,0.00252,27.14650,0.00000,0.03054
0.05800,Balanced,25.01434,25.90434,0.00000,0.00000,0.00012,0.00064,0.00002,1.00000,0.00045,0.00210,27.14650,0.00000,0.00367
0.07800,Balanced,25.01434,25.90434,0.00000,0.00000,0.00011,0.00052,0.00002,1.00000,0.00037,0.00174,27.14649,0.00000,0.00400
0.09800,Balanced,25.01434,25.90434,0.00000,0.00000,0.00011,0.00041,0.00001,1.00000,0.00030,0.00144,27.14649,0.00000,0.00478
