time,state,cameraY,chestY,pivotY,cameraSpeed,cameraAcceleration,dt
0.00000,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.33333
0.01751,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.01751
0.02204,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00453
0.02601,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00397
0.02963,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00362
0.03265,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00302
0.03581,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00316
0.04066,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00485
0.04422,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00356
0.04690,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00268
0.04941,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00250
0.05200,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00259
0.05488,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00289
0.05834,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00346
0.06104,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00270
0.06424,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00320
0.06683,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00259
0.07026,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00343
0.07324,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00298
0.07667,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00343
0.08100,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00433
0.08457,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00357
0.08802,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00344
0.09096,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00294
0.09403,Balanced,2.14659,0.90397,1.56444,0.00008,0.02530,0.00307
0.09729,Balanced,2.14659,0.90397,1.56444,0.00007,0.00142,0.00326
0.10144,Balanced,2.14659,0.90397,1.56444,0.00000,0.01760,0.00415
0.10498,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00354
0.10804,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00306
0.11139,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00335
0.11437,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00298
0.11819,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00382
0.12124,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00305
0.12462,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00338
0.12777,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00315
0.13097,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00320
0.13391,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00294
0.13682,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00291
0.14015,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00333
0.14322,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00307
0.14764,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00441
0.15092,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00328
0.15519,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00427
0.15998,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00479
0.16332,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00334
0.16672,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00340
0.17020,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00348
0.17350,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00329
0.17668,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00318
0.18062,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00395
0.18399,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00336
0.18669,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00270
0.18957,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00289
0.19237,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00280
0.19589,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00352
