time,state,cameraY,chestY,pivotY,cameraSpeed,cameraAcceleration,dt
0.00000,Balanced,2.62160,1.38031,2.03945,0.35153,17.57647,0.02000
0.01458,Balanced,2.61380,1.37229,2.03164,0.53566,12.63268,0.01458
0.01869,Balanced,2.61159,1.37002,2.02944,0.53567,0.00086,0.00411
0.02371,Balanced,2.60820,1.36656,2.02605,0.67556,27.85372,0.00502
0.02783,Balanced,2.60521,1.36352,2.02306,0.72501,11.99765,0.00412
0.03404,Balanced,2.60071,1.35894,2.01856,0.72500,0.00065,0.00621
0.03828,Balanced,2.59764,1.35581,2.01548,0.72508,0.01812,0.00424
0.04161,Balanced,2.59491,1.35305,2.01276,0.81843,28.02105,0.00333
0.04707,Balanced,2.58990,1.34797,2.00774,0.91817,18.25760,0.00546
0.05022,Balanced,2.58700,1.34505,2.00485,0.91803,0.04176,0.00315
0.05419,Balanced,2.58336,1.34137,2.00121,0.91817,0.03461,0.00396
0.05811,Balanced,2.57976,1.33773,1.99761,0.91820,0.00641,0.00393
0.06175,Balanced,2.57608,1.33401,1.99392,1.01221,25.82477,0.00364
0.06510,Balanced,2.57235,1.33026,1.99020,1.11360,30.31107,0.00334
0.06813,Balanced,2.56897,1.32686,1.98682,1.11365,0.01658,0.00303
0.07192,Balanced,2.56475,1.32261,1.98260,1.11361,0.00824,0.00379
0.07536,Balanced,2.56092,1.31875,1.97877,1.11360,0.00308,0.00344
0.07812,Balanced,2.55784,1.31565,1.97569,1.11368,0.02653,0.00276
0.08107,Balanced,2.55436,1.31215,1.97220,1.18498,24.23312,0.00294
0.08574,Balanced,2.54823,1.30600,1.96608,1.31015,26.77038,0.00468
0.08898,Balanced,2.54399,1.30174,1.96183,1.31016,0.00184,0.00324
0.09166,Balanced,2.54048,1.29823,1.95833,1.31010,0.02203,0.00267
0.09418,Balanced,2.53717,1.29491,1.95502,1.31012,0.00646,0.00253
0.09710,Balanced,2.53335,1.29107,1.95120,1.31014,0.00769,0.00292
0.10527,Balanced,2.52161,1.27931,1.93946,1.43682,15.50507,0.00817
0.10888,Balanced,2.51618,1.27387,1.93402,1.50656,19.31932,0.00361
0.11328,Balanced,2.50955,1.26723,1.92740,1.50655,0.00136,0.00440
0.11718,Balanced,2.50367,1.26135,1.92152,1.50658,0.00752,0.00390
0.12085,Balanced,2.49798,1.25564,1.91582,1.55186,12.33156,0.00367
0.12486,Balanced,2.49116,1.24882,1.90900,1.70215,37.51161,0.00401
0.12741,Balanced,2.48681,1.24447,1.90465,1.70221,0.02053,0.00256
0.13013,Balanced,2.48218,1.23985,1.90003,1.70224,0.01264,0.00272
0.13427,Balanced,2.47514,1.23280,1.89298,1.70215,0.02191,0.00414
0.13751,Balanced,2.46962,1.22728,1.88747,1.70214,0.00173,0.00324
0.14067,Balanced,2.46410,1.22176,1.88195,1.74364,13.10899,0.00317
0.14724,Balanced,2.45165,1.20932,1.86950,1.89657,23.29337,0.00657
0.15044,Balanced,2.44558,1.20325,1.86343,1.89660,0.00995,0.00320
0.15667,Balanced,2.43375,1.19143,1.85160,1.89656,0.00556,0.00624
0.16014,Balanced,2.42716,1.18483,1.84500,1.90429,2.23018,0.00346
0.16401,Balanced,2.41906,1.17675,1.83691,2.08959,47.84186,0.00387
0.16773,Balanced,2.41129,1.16897,1.82913,2.08955,0.01236,0.00372
0.17105,Balanced,2.40436,1.16205,1.82221,2.08958,0.00906,0.00332
0.17438,Balanced,2.39739,1.15509,1.81524,2.08952,0.01738,0.00333
0.17778,Balanced,2.39030,1.14800,1.80815,2.08958,0.01743,0.00339
0.18090,Balanced,2.38359,1.14130,1.80144,2.14502,17.71691,0.00313
0.18441,Balanced,2.37560,1.13331,1.79344,2.28111,38.83755,0.00350
0.18793,Balanced,2.36757,1.12529,1.78542,2.28103,0.02094,0.00352
0.19169,Balanced,2.35898,1.11671,1.77683,2.28112,0.02387,0.00377
0.19476,Balanced,2.35198,1.10971,1.76983,2.28108,0.01360,0.00307
0.19785,Balanced,2.34494,1.10267,1.76279,2.28112,0.01312,0.00309
0.20089,Balanced,2.33784,1.09558,1.75569,2.33665,18.27169,0.00304
0.20398,Balanced,2.33019,1.08794,1.74804,2.47133,43.53003,0.00309
