time,state,rootY,chestY,tilt,rotationStep,speed,acceleration,maxAnchorError,drive,relativeSpeed,relativeAngularSpeed,cameraY,cameraSpeed,cameraAcceleration
0.00000,Balanced,0.48945,1.38031,0.00000,0.00000,0.35189,0.00000,0.00655,1.00000,0.01505,0.01104,2.62863,0.00000,0.00000
0.02000,Balanced,0.47874,1.36930,0.00000,0.00000,0.53618,9.21425,0.00452,1.00000,0.00801,0.02595,2.61159,0.00000,26.78341
0.04000,Balanced,0.46424,1.35454,0.00000,0.00000,0.72546,9.46405,0.00314,1.00000,0.00726,0.04125,2.59764,0.00000,36.25406
0.06000,Balanced,0.44587,1.33597,0.00000,0.00000,0.91849,9.65151,0.00245,1.00000,0.00774,0.05154,2.57976,0.00000,45.90982
0.08000,Balanced,0.42360,1.31355,0.00000,0.00000,1.11387,9.76919,0.00218,1.00000,0.00929,0.05542,2.55784,0.00000,55.68387
0.10000,Balanced,0.39740,1.28726,0.00000,0.00000,1.31027,9.82016,0.00209,1.00000,0.01105,0.05387,2.53335,0.00000,65.50700
0.12000,Balanced,0.36727,1.25709,0.00000,0.00000,1.50662,9.81750,0.00202,1.00000,0.01213,0.04872,2.50367,0.00000,75.32895
0.14000,Balanced,0.33322,1.22304,0.00000,0.00000,1.70217,9.77776,0.00192,1.00000,0.01227,0.04170,2.46962,0.00000,85.10720
0.16000,Balanced,0.29529,1.18512,0.00000,0.00000,1.89653,9.71841,0.00178,1.00000,0.01157,0.03412,2.43375,0.00000,94.82820
0.18000,Balanced,0.25350,1.14336,0.00000,0.00000,2.08949,9.64805,0.00161,1.00000,0.01034,0.02693,2.39030,0.00000,104.47890
0.20000,Balanced,0.20788,1.09777,0.00000,0.00000,2.28102,9.57674,0.00143,1.00000,0.00887,0.02051,2.34494,0.00000,114.05610
0.22000,Balanced,0.15845,1.04838,0.00000,0.00000,2.47118,9.50864,0.00125,1.00000,0.00738,0.01505,2.29080,0.00000,123.55980
0.24000,Balanced,0.10525,0.99520,0.00000,0.00000,2.66009,9.44563,0.00107,1.00000,0.00601,0.01061,2.24145,0.00000,133.00750
0.26000,Balanced,0.04829,0.93827,0.00000,0.00000,2.84785,9.38892,0.00091,1.00000,0.00484,0.00724,2.18999,0.00000,142.39510
0.28000,Balanced,-0.01240,0.87760,0.00000,0.00000,3.03457,9.33564,0.00076,1.00000,0.00389,0.00496,2.12965,0.00000,151.72930
0.30000,Balanced,0.00907,0.89007,0.00000,0.00000,0.00008,151.72840,0.01387,1.00000,0.76253,0.15728,2.13993,0.00000,53.66868
0.32000,Balanced,0.01336,0.90219,0.00000,0.00000,0.00015,0.00473,0.00410,1.00000,0.48165,0.03474,2.14494,0.00000,10.73374
0.34000,Balanced,0.01422,0.90424,0.00000,0.00000,0.00007,0.00868,0.00373,1.00000,0.09001,0.01643,2.14635,0.00000,2.14705
0.36000,Balanced,0.01439,0.90401,0.00000,0.00000,0.00006,0.00179,0.00309,1.00000,0.00515,0.00993,2.14652,0.00000,0.43066
0.38000,Balanced,0.01443,0.90391,0.00000,0.00000,0.00005,0.00117,0.00239,1.00000,0.00272,0.00580,2.14657,0.00000,0.08937
0.40000,Balanced,0.01443,0.90394,0.00000,0.00000,0.00004,0.00046,0.00182,1.00000,0.00345,0.00740,2.14659,0.00000,0.01710
0.42000,Balanced,0.01443,0.90395,0.00000,0.00000,0.00003,0.00037,0.00142,1.00000,0.00288,0.00835,2.14659,0.00000,0.00685
0.44000,Balanced,0.01443,0.90396,0.00000,0.00000,0.00003,0.00042,0.00112,1.00000,0.00274,0.00904,2.14659,0.00000,0.00000
0.46000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00012,0.00092,1.00000,0.00279,0.00907,2.14659,0.00000,0.00000
0.48000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00010,0.00079,1.00000,0.00279,0.00861,2.14659,0.00000,0.00000
0.50000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00007,0.00072,1.00000,0.00274,0.00789,2.14659,0.00000,0.00000
0.52000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00004,0.00074,1.00000,0.00265,0.00706,2.14659,0.00000,0.00000
0.54000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00002,0.00074,1.00000,0.00254,0.00623,2.14659,0.00000,0.00000
0.56000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00001,0.00023,0.00075,1.00000,0.00243,0.00548,2.14659,0.00000,0.00000
0.58000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00001,0.00000,0.00076,1.00000,0.00233,0.00488,2.14659,0.00000,0.00000
0.60000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00001,0.00001,0.00076,1.00000,0.00223,0.00444,2.14659,0.00000,0.00000
0.62000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00002,0.00076,1.00000,0.00215,0.00414,2.14659,0.00000,0.00000
0.64000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00003,0.00076,1.00000,0.00207,0.00397,2.14659,0.00000,0.00000
0.66000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00003,0.00076,1.00000,0.00200,0.00388,2.14659,0.00000,0.00000
0.68000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00003,0.00076,1.00000,0.00195,0.00384,2.14659,0.00000,0.00000
0.70000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00003,0.00075,1.00000,0.00190,0.00383,2.14659,0.00000,0.00000
0.72000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00002,0.00075,1.00000,0.00185,0.00383,2.14659,0.00000,0.00000
0.74000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00002,0.00076,1.00000,0.00181,0.00382,2.14659,0.00000,0.00000
0.76000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00001,0.00077,1.00000,0.00177,0.00380,2.14659,0.00000,0.00000
0.78000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00023,0.00079,1.00000,0.00174,0.00380,2.14659,0.00000,0.00000
0.80000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00001,0.00080,1.00000,0.00171,0.00374,2.14659,0.00000,0.00000
0.82000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00001,0.00080,1.00000,0.00169,0.00370,2.14659,0.00000,0.00000
0.84000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00167,0.00364,2.14659,0.00000,0.00000
0.86000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00001,0.00081,1.00000,0.00165,0.00359,2.14659,0.00000,0.00000
0.88000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00165,0.00353,2.14659,0.00000,0.00000
0.90000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00080,1.00000,0.00163,0.00348,2.14659,0.00000,0.00000
0.92000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00080,1.00000,0.00162,0.00343,2.14659,0.00000,0.00000
0.94000,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00023,0.00080,1.00000,0.00162,0.00336,2.14659,0.00000,0.00000
