time,state,cameraY,chestY,pivotY,cameraSpeed,cameraAcceleration,dt
0.00000,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.33333
0.01683,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.01683
0.02158,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00475
0.02691,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00534
0.03142,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00450
0.03505,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00363
0.03888,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00384
0.04253,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00365
0.04911,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00658
0.05234,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00323
0.05616,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00382
0.05961,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00346
0.06277,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00315
0.06720,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00443
0.07074,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00354
0.07469,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00396
0.07849,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00380
0.08192,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00343
0.08625,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00432
0.09013,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00389
0.09398,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00384
0.09706,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00309
0.10013,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00307
0.10349,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00336
0.10852,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00503
0.11227,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00375
0.11584,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00358
0.12017,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00433
0.12333,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00316
0.12757,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00424
0.13121,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00364
0.13476,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00355
0.13857,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00381
0.14309,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00452
0.14672,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00364
0.14966,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00294
0.15281,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00314
0.15846,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00565
0.16306,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00460
0.16732,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00426
