time,state,cameraY,chestY,pivotY,cameraSpeed,cameraAcceleration,dt
0.00000,Balanced,2.14408,0.89815,1.56193,1.45366,4.36096,0.33333
0.02000,Balanced,2.14609,0.90356,1.56393,0.10018,67.67358,0.02000
0.02469,Balanced,2.14629,0.90404,1.56414,0.04295,12.20169,0.00469
0.03180,Balanced,2.14642,0.90418,1.56426,0.01815,3.48978,0.00711
0.03586,Balanced,2.14645,0.90414,1.56430,0.00857,2.35786,0.00406
0.04258,Balanced,2.14651,0.90406,1.56436,0.00859,0.00224,0.00672
0.04627,Balanced,2.14654,0.90401,1.56439,0.00859,0.00074,0.00369
0.04997,Balanced,2.14655,0.90399,1.56440,0.00239,1.67757,0.00370
0.05371,Balanced,2.14656,0.90397,1.56440,0.00178,0.16070,0.00374
0.05704,Balanced,2.14656,0.90396,1.56441,0.00172,0.01902,0.00332
0.06020,Balanced,2.14657,0.90394,1.56442,0.00166,0.01989,0.00317
0.06329,Balanced,2.14657,0.90393,1.56442,0.00178,0.03777,0.00309
0.06648,Balanced,2.14658,0.90391,1.56443,0.00172,0.01687,0.00319
0.06979,Balanced,2.14658,0.90392,1.56443,0.00043,0.38908,0.00331
0.07441,Balanced,2.14658,0.90392,1.56443,0.00031,0.02549,0.00461
0.07783,Balanced,2.14658,0.90393,1.56443,0.00036,0.01188,0.00342
0.08152,Balanced,2.14658,0.90393,1.56443,0.00033,0.00680,0.00369
0.08496,Balanced,2.14659,0.90393,1.56443,0.00042,0.02471,0.00345
0.08927,Balanced,2.14659,0.90394,1.56443,0.00012,0.06764,0.00431
0.09337,Balanced,2.14659,0.90394,1.56443,0.00013,0.00153,0.00410
0.09654,Balanced,2.14659,0.90395,1.56443,0.00000,0.04110,0.00316
0.09988,Balanced,2.14659,0.90395,1.56443,0.00016,0.04773,0.00334
0.10323,Balanced,2.14659,0.90395,1.56443,0.00000,0.04756,0.00335
0.10658,Balanced,2.14659,0.90395,1.56444,0.00016,0.04791,0.00335
0.10981,Balanced,2.14659,0.90396,1.56444,0.00002,0.04387,0.00323
0.11374,Balanced,2.14659,0.90396,1.56444,0.00000,0.00470,0.00392
0.11789,Balanced,2.14659,0.90396,1.56444,0.00006,0.01382,0.00415
0.15527,Balanced,2.14659,0.90397,1.56444,0.00002,0.00100,0.03738
0.16573,Balanced,2.14659,0.90397,1.56444,0.00000,0.00193,0.01046
