time,state,cameraY,chestY,pivotY,cameraSpeed,cameraAcceleration,dt
0.00000,Balanced,2.14659,0.90397,1.56444,0.00002,0.00005,0.33333
0.01450,Balanced,2.14659,0.90397,1.56444,0.00002,0.00005,0.01450
0.01826,Balanced,2.14659,0.90397,1.56444,0.00000,0.00437,0.00377
0.02150,Balanced,2.14659,0.90397,1.56444,0.00007,0.02282,0.00323
0.02483,Balanced,2.14659,0.90397,1.56444,0.00000,0.02212,0.00333
0.02818,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00334
0.03167,Balanced,2.14659,0.90397,1.56444,0.00007,0.01948,0.00350
0.03490,Balanced,2.14659,0.90397,1.56444,0.00000,0.02114,0.00322
0.03776,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00287
0.04070,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00294
0.04369,Balanced,2.14659,0.90397,1.56444,0.00008,0.02661,0.00299
0.04658,Balanced,2.14659,0.90397,1.56444,0.00000,0.02762,0.00288
0.04908,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00250
0.05254,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00346
0.05536,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00282
0.05813,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00277
0.06082,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00269
0.06364,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00283
0.06650,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00286
0.06955,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00305
0.07285,Balanced,2.14659,0.90397,1.56444,0.00007,0.02196,0.00330
0.07557,Balanced,2.14659,0.90397,1.56444,0.00000,0.02658,0.00272
0.07846,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00289
0.08124,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00278
0.08437,Balanced,2.14659,0.90397,1.56444,0.00008,0.02430,0.00313
0.08740,Balanced,2.14659,0.90397,1.56444,0.00008,0.00083,0.00303
0.09058,Balanced,2.14659,0.90397,1.56444,0.00008,0.00114,0.00318
0.09418,Balanced,2.14659,0.90397,1.56444,0.00007,0.00248,0.00361
0.09765,Balanced,2.14659,0.90397,1.56444,0.00000,0.01908,0.00346
0.10037,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00272
0.10339,Balanced,2.14659,0.90397,1.56444,0.00008,0.02622,0.00302
0.10693,Balanced,2.14659,0.90397,1.56444,0.00000,0.02232,0.00354
0.11015,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00322
0.11391,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00376
0.11689,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00298
0.12032,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00343
