time,state,rootY,chestY,tilt,rotationStep,speed,acceleration,maxAnchorError,drive,relativeSpeed,relativeAngularSpeed,cameraY,cameraSpeed,cameraAcceleration
-0.33255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.31255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.29255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.27255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.25255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.23255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.21255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.19255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.17255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.15255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.13255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.11255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.09255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.07255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.05255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.03255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.01255,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
0.00745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00079
0.02745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
0.04745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
0.06745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.08745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00393
0.10745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
0.12745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.14745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
0.16745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
0.18745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.20745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00357
0.22745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
0.24745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.26745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
0.28745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
0.30745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.32745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
0.34745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
0.36745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.38745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.40745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.42745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00502
0.44745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.46745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.48745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.50745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.52745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.54745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.56745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.58745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.60745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.62745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
0.64745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.66745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.68745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.70745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.72745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.74745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.76745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.78745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.80745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.82745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00396
0.84745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.86745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.88745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.90745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.92745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.94745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.96745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
0.98745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.00745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.02745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.04745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.06745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.08745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.10745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.12745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.14745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.16745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.18745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.20745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.22745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.24745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.26745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.28745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.30745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.32745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.34745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.36745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.38745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.40745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.42745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.44745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.46745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.48745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.50745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00452
1.52745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.54745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.56745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.58745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.60745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.62745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.64745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.66745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.68745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00559
1.70745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.72745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.74745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.76745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.78745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.80745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.82745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.84745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.86745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.88745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.90744,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.92745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.94744,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00108
1.96745,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
1.98744,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00309,2.14659,0.00000,0.00000
2.00745,Fallen,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,0.03000,0.00159,0.00309,2.14659,0.00000,0.00000
2.02745,Fallen,0.01447,0.90499,0.50783,0.50668,0.14388,7.19320,0.00074,0.03000,0.08437,0.53927,2.14661,0.00000,13.70036
2.04745,Fallen,0.01446,0.90530,0.74939,0.24066,0.20819,3.21794,0.00091,0.03000,0.06637,0.40884,2.14657,0.00000,1.21226
2.06745,Fallen,0.01446,0.90545,0.98357,0.23070,0.20512,0.15375,0.00058,0.03000,0.04549,0.34060,2.14655,0.00000,1.69820
2.08745,Fallen,0.01447,0.90573,1.21611,0.22728,0.20349,0.08730,0.00059,0.03000,0.04126,0.29088,2.14658,0.00000,2.02025
2.10745,Fallen,0.01448,0.90602,1.44767,0.23070,0.20241,0.06507,0.00059,0.03000,0.03613,0.26102,2.14667,0.00000,2.48279
2.12745,Fallen,0.01449,0.90630,1.67853,0.23070,0.20196,0.04162,0.00058,0.03000,0.03187,0.23789,2.14681,0.00000,3.06715
2.14745,Fallen,0.01451,0.90654,1.90978,0.23070,0.20211,0.03673,0.00080,0.03000,0.02825,0.22012,2.14703,0.00000,3.82100
2.16745,Fallen,0.01452,0.90679,2.14183,0.23407,0.20288,0.05257,0.00082,0.03000,0.02669,0.20562,2.14727,0.00000,4.61501
2.18745,Fallen,0.01454,0.90704,2.37553,0.23070,0.20429,0.08033,0.00073,0.03000,0.02553,0.19350,2.14753,0.00000,5.42187
2.20745,Fallen,0.01456,0.90728,2.61165,0.22728,0.20632,0.10803,0.00068,0.03000,0.02399,0.18398,2.14787,0.00000,6.35924
2.22745,Fallen,0.01459,0.90750,2.85081,0.23407,0.20896,0.13746,0.00066,0.03000,0.02294,0.17675,2.14818,0.00000,7.20259
