time,state,rootY,chestY,tilt,rotationStep,speed,acceleration,maxAnchorError,drive,relativeSpeed,relativeAngularSpeed,cameraY,cameraSpeed,cameraAcceleration
-0.32206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00000,0.00081,1.00000,0.00158,0.00310,2.14659,179.29610,8964.80700
-0.30206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,8964.80700
-0.28206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.26206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.24206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.22206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.20206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.18206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.16206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.14206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.12206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.10206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.08206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
-0.06206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.04206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00000
-0.02206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00000,0.00000
-0.00206,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00000,0.00000
0.01794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00027,0.01371
0.03794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.01252
0.05794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00000
0.07794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
0.09794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00119
0.11794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.00000
0.13794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
0.15794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00001,0.00060
0.17794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00004,0.00119
0.19794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00179
0.21794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00119
0.23794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.00000
0.25794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
0.27794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.00119
0.29794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00000
0.31794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
0.33794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00119
0.35794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.00000
0.37794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
0.39794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.00119
0.41794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00000
0.43794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
0.45794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00119
0.47794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.00000
0.49794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
0.51794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.00119
0.53794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00000
0.55794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
0.57794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00310,2.14659,0.00002,0.00119
0.59794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00030,0.00081,1.00000,0.00158,0.00310,2.14659,0.00002,0.00000
0.61794,Balanced,0.01443,0.90397,0.00000,0.00000,0.00002,0.00038,0.00081,1.00000,0.00159,0.00308,2.14659,0.00000,0.00119
