time,state,cameraY,chestY,pivotY,cameraSpeed,cameraAcceleration,dt
0.00000,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.33333
0.01938,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.01938
0.02377,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00439
0.02819,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00442
0.03282,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00463
0.03685,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00403
0.04065,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00380
0.04518,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00453
0.05145,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00627
0.05527,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00382
0.06023,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00496
0.06517,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00494
0.07004,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00487
0.07416,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00412
0.07750,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00334
0.08171,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00422
0.08554,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00383
0.09072,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00518
0.09509,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00436
0.09841,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00332
0.10182,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00341
0.10580,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00398
0.11047,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00466
0.11403,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00356
0.11831,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00428
0.12185,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00354
0.12591,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00406
0.13006,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00415
0.13461,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00455
0.13871,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00410
0.14328,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00457
0.14718,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00390
0.15082,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00363
0.15725,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00643
0.16271,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00546
0.16659,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00388
0.17142,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00483
0.17544,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00403
0.17952,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00408
0.18309,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00357
0.18657,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00347
0.19017,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00360
0.19346,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00329
0.19650,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00304
0.19918,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00268
0.20211,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00294
0.20544,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00333
0.20942,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00397
0.21253,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00311
0.21586,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00333
0.21938,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00352
0.22305,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00368
0.22589,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00284
0.22966,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00376
0.23293,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00327
0.23672,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00379
0.24034,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00362
0.24419,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00385
0.24746,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00327
0.25141,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00395
0.25511,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00371
0.25871,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00360
0.26239,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00368
0.26551,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00311
0.26973,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00422
0.27314,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00341
0.27715,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00402
0.28027,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00311
0.28408,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00381
0.28714,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00307
0.29140,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00426
0.29559,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00419
0.29846,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00287
0.30109,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00263
0.30496,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00387
0.30846,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00350
0.31226,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00380
0.31585,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00359
0.31944,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00359
0.32221,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00277
0.32552,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00331
0.32893,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00341
0.33204,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00312
0.33510,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00305
0.33800,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00290
0.34050,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00250
0.34328,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00279
0.34662,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00333
0.34971,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00309
0.35324,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00354
0.35608,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00284
0.35919,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00311
0.36216,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00296
0.36508,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00292
0.36858,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00350
0.37215,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00356
0.37535,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00321
0.37808,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00273
0.38101,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00293
0.38366,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00265
0.38611,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00245
0.38909,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00297
0.39155,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00247
0.39481,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00326
0.39754,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00273
0.40038,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00284
0.40390,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00352
0.40681,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00291
0.41062,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00381
0.41353,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00291
0.41664,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00311
0.41971,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00307
0.42333,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00362
0.42664,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00330
0.43083,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00419
0.43398,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00315
0.43760,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00362
0.44069,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00309
0.44356,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00287
0.44629,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00273
0.45058,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00429
0.45372,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00314
0.45712,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00340
0.45991,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00279
0.46332,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00342
0.46636,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00303
0.47009,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00374
0.47363,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00353
0.47697,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00335
0.48014,Balanced,2.14659,0.90397,1.56444,0.00000,0.00000,0.00317
