step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,0,0,0,0,-0.0129940361,0,0.09765431,0,0,0,0,0,0,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.03097205,-0.00180053711,0.0141898766,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,-0.00183105469,7.586719E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,0.0003491547,0.00014203212,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.203685,-0.00424194336,0.00230386434,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.20284283,-0.001953125,0.00245925458,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.06553721,-0.006439209,0.00260989787,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.06541789,-0.004211426,0.00266342773,0.516375363,0.0009890392,0.00102903857,-0.5500243,2.13918281,2.73884559,3.518509
3,0.059999978741496596,3,0,0,0,0,0,0.016962532,0,0.182640582,0,0,0,0,0,0,-0.0003392505,-0.536165,-0.00365281035,0,0,0,0.00377811026,-0.5294402,-0.005076263,0.0352147035,0.00010734309,-0.0168151855,0.00173466967,0.00342093874,0.0256684963,-0.000405945844,-0.5361309,-0.0194920711,-0.392333984,0.00473341439,-0.00100708008,-0.07608647,0.0058571,-0.00231896271,-0.000380633835,-0.536084831,-0.0189552419,-0.3953247,0.007948559,-0.00109863281,-0.07923674,0.00637837965,-0.002100673,0.00032238572,-0.532010853,0.0554984063,1.79063845,0.00323804258,0.000287840929,0.6440741,0.00606228458,-0.00144127815,0.000376976415,-0.5319533,0.0556157678,1.78927517,0.00684082927,0.000332949247,0.643260837,0.00714961626,-0.00156559132,0.000236086256,-0.5667834,0.157963678,1.64964378,0.00147948635,0.00124430913,0.5122212,0.006653043,-0.00173569866,0.0001891312,-0.5666427,0.157803655,1.64884663,0.005477731,0.00132191472,0.5112492,0.008078121,-0.00174421514,-0.550018,2.14989614,2.73891616,3.5250864
4,0.0799999716553288,3,0,0,0,0,0,0.02955512,0,0.249590471,0,0,0,0,0,0,-0.0005911022,-0.7254413,-0.00499180751,0,0,0,0.00497202436,-0.720824838,-0.00572526641,0.0343031734,0.0009963715,-0.0380859375,-0.000376521843,0.00282006082,0.0411470644,-0.0004310103,-0.7254353,-0.0120961806,-0.4474182,0.0074511026,-0.00134277344,-0.034021128,0.00217879517,-0.00216127513,-0.000425950333,-0.7253899,-0.012179275,-0.4491577,0.01128664,-0.00155639648,-0.03723325,0.00236452557,-0.00192203757,0.000192342544,-0.7203853,0.07300075,2.3899014,0.00741540268,-0.00146484375,0.62831223,0.00310768723,-0.00129526225,0.000223509662,-0.7203134,0.0730543,2.38951087,0.0116395177,-0.00152587891,0.629046,0.003664702,-0.00141830754,0.000263275957,-0.753759861,0.17624256,2.22173166,0.00737740239,-0.00048828125,0.5079603,0.004430658,-0.0017713001,0.000273940648,-0.753666043,0.176401287,2.22086048,0.0120852413,-0.000396728516,0.508065045,0.005020193,-0.00186937652,-0.5500058,2.16439629,2.739014,3.53402257
5,0.099999964569160993,3,0,0,0,0,0,0.0321090631,0,0.2994294,0,0,0,0,0,0,-0.000642181,-0.9184679,-0.0059885853,0,0,0,0.00479388,-0.9129627,-0.00606817054,0.0298330318,0.00134569721,-0.0489501953,-0.00160961959,0.00221765833,0.051468797,-0.000474785746,-0.9184982,-0.00661285128,-0.4625244,0.007410573,-0.0016784668,-0.00269039231,-0.000199115835,-0.00130829809,-0.000476943649,-0.9184612,-0.00677095447,-0.463409424,0.011469394,-0.00192260742,-0.004260454,-0.000272026518,-0.00111415994,-1.32690766E-05,-0.912797034,0.08494319,2.98954463,0.00785710849,-0.00280761719,0.603970051,0.0001857751,-0.0010969966,5.554233E-06,-0.912746966,0.0849226341,2.98995543,0.0121860728,-0.0029296875,0.6045683,0.000318051549,-0.00120176363,0.000250896555,-0.9449815,0.188035563,2.77970719,0.008229367,-0.00204467773,0.5037492,0.000560821034,-0.00146754866,0.000293584715,-0.944954038,0.188174516,2.77923226,0.0129074063,-0.001953125,0.504285634,0.000576525461,-0.00159362843,-0.549992442,2.18275881,2.73913217,3.54538751
6,0.11999995748299319,4,0,0,0,0,0,0.0298220366,0,0.334238648,0,0,0,0,0,0,-0.0005964405,-1.113851,-0.00668477034,0,0,0,0.0045453147,-1.10611939,-0.00623880234,0.0229706559,0.00174506,-0.05090332,-0.00227592583,0.00190694572,0.05534132,-0.0004837099,-1.11391222,-0.00260405545,-0.447784424,0.0061886874,-0.00198364258,0.0203069057,-0.00123179855,-0.000572448,-0.0004889998,-1.11388338,-0.00269724149,-0.448150635,0.0101649472,-0.00225830078,0.020049734,-0.00148550421,-0.0004325551,-0.000202884,-1.10770142,0.09225669,3.58001351,0.006521746,-0.00366210938,0.573615134,-0.00117116666,-0.0007710987,-0.000188949532,-1.10767126,0.09223885,3.58067942,0.0106592784,-0.00384521484,0.5738401,-0.0013027105,-0.0008650007,0.000108748427,-1.13852358,0.193884,3.32205439,0.00653008651,-0.00335693359,0.496299416,-0.00138006033,-0.00111736427,0.000163813427,-1.1384933,0.19390513,3.3217113,0.0108805327,-0.00335693359,0.496495843,-0.001623669,-0.0012516221,-0.5500129,2.137814,2.73884368,3.51767373
7,0.13999995039682539,4,0,0,0,0,0,0.0243924279,0,0.355948776,0,0,0,0,0,0,-0.00048784836,-1.31025326,-0.00711897248,0,0,0,0.00430166954,-1.300335,-0.00631037541,0.0150321089,0.00226142048,-0.0455627441,-0.00244039623,0.00157754635,0.05379368,-0.000422802084,-1.31033432,0.000294223661,-0.411590576,0.004512991,-0.00213623047,0.0366765857,-0.00163056655,-6.5291606E-05,-0.000429953157,-1.31031132,0.000227755634,-0.411529541,0.008190358,-0.00244140625,0.03709657,-0.00200294121,2.671412E-05,-0.000345771055,-1.30374849,0.09571544,4.15290976,0.00465287361,-0.00393676758,0.538185656,-0.00159252423,-0.00030633423,-0.0003356167,-1.30372179,0.09571539,4.153512,0.008415502,-0.004211426,0.5382529,-0.00189367344,-0.0003896681,-0.000133340742,-1.33299732,0.194518924,3.84603047,0.00434258627,-0.004272461,0.4846464,-0.00180764438,-0.0005418389,-7.676671E-05,-1.33295178,0.194482863,3.845391,0.008226977,-0.00430297852,0.484485239,-0.002185039,-0.000667196931,-0.5500026,2.16401649,2.73898554,3.53376746
8,0.15999994331065759,5,0,0,0,0,0,0.0172419362,0,0.364126951,0,0,0,0,0,0,-0.0003448386,-1.50660276,-0.007282536,0,0,0,0.00400669966,-1.49532151,-0.00631197356,0.007165137,0.00277624629,-0.0350036621,-0.00216039922,0.00116072455,0.0486495942,-0.000322979933,-1.50670421,0.00434400933,-0.350097656,0.002770534,-0.00207519531,0.0575779453,-0.001688326,0.000328799244,-0.000333734672,-1.50668669,0.004295708,-0.3496704,0.0059386543,-0.002380371,0.05838809,-0.00218825857,0.0003712003,-0.000440091477,-1.50051057,0.09569867,4.65223742,0.00280546467,-0.00366210938,0.453921437,-0.00158845808,0.000177090915,-0.000435947761,-1.50049818,0.0957074,4.65237141,0.00602028053,-0.00399780273,0.453701824,-0.00205094158,0.000107217478,-0.0003771528,-1.52596962,0.184012562,4.310563,0.00242695422,-0.00451660156,0.4343428,-0.00164787855,0.000126285784,-0.000324279565,-1.52592158,0.183928072,4.309121,0.0057264436,-0.004638672,0.433846653,-0.00214404264,1.826643E-05,-0.5500099,2.15709352,2.7389307,3.52949071
9,0.17999993622448979,7,0,0,0,0,0,0.009803693,0,0.347898722,0,0,0,0,0,0,-0.000196073772,-1.702158,-0.00695797149,0,0,0,0.00364874071,-1.69053268,-0.006112044,0.000587077753,0.0031160058,-0.0216064453,-0.00120376272,0.000659345649,0.04167658,-0.0001989846,-1.7023052,0.0151780937,-0.229187012,0.00112528075,-0.00177001953,0.109983295,-0.00162340293,0.000673387432,-0.000224461677,-1.7022934,0.015102461,-0.228546143,0.003353719,-0.002105713,0.110896647,-0.00243466371,0.00064695254,-0.00048526653,-1.69930673,0.09011338,4.886671,0.00117387262,-0.00289917,0.199440524,-0.001442013,0.000619722,-0.000493685948,-1.69929361,0.09011518,4.886867,0.00345853926,-0.00329589844,0.19948642,-0.002248001,0.0005533087,-0.0005588517,-1.71339858,0.141627416,4.5717907,0.0009046498,-0.004058838,0.248141915,-0.00137835322,0.00073155784,-0.0005064134,-1.71335423,0.141595751,4.56983137,0.003321706,-0.004272461,0.24790217,-0.00215876335,0.0006422648,-0.550015032,2.14036965,2.738844,3.519228
